name,number,status
AnnualReleaseCycleforPython,602,Accepted
TheZenofPython,20,Active
APIforCryptographicHashFunctions,247,Final
RefactoringCfunctionsandmethods,579,Final
DoingPythonReleases101,101,Active
TheTheoryofTypeHints,483,Final
Typinggovernanceprocess,729,Active
PEPInfrastructureProcess,676,Active
ThePythonDocumentationEditorialBoard,732,Active
CAPIWorkingGroupCharter,731,Active
CPythonplatformsupport,11,Active
PythonLanguageGovernance,13,Active
StyleGuideforPythonCode,8,Active
PythonPackagingAuthority(PyPA)Governance,609,Active
BackwardsCompatibilityPolicy,387,Active
VotingGuidelines,10,Active
SamplereStructuredTextPEPTemplate,12,Active
UsingGitHubIssuesforCPython,581,Accepted
DeprecationofStandardModules,4,Active
StyleGuideforCCode,7,Active
ProcedureforAddingNewModules,2,Active
